block,streetName,streetType,streetDirection,overall,crack,patch,length,width,dateRated,dateLastOverlay,flushOil,class,pavement,streetID
1000,SALINA,ST,S,8,3,3,560,56,12/02,2002,F,Local,6,12577367
1500,ONONDAGA,ST,W,4,3,3,330,35,3/04,1991,F,MA,6,12572999
2300,FAYETTE,ST,E,7,4,4,260,36,1/03,1989,F,CO,6,12578723
400,TAYLOR,ST,E,8,4,5,475,27,3/04,2000,F,Local,6,12577403
600,MIDLER,AVE,S,7,4,4,1650,40,3/04,1987,F,Local,6,13001807
5200,SALINA,ST,S,10,5,5,359,40,11/01,2001,F,MA,6,13002112
600,COLVIN,ST,E,7,4,4,253,36,1/03,1990,F,MA,6,12577315
200,TOWNSEND,ST,N,7,4,4,513,35,1/01,1990,F,Local,6,12577969
1000,ERIE,BLVD,W,6,3,4,1710,56,2/12,2003,F,Local,4,12573449
200,KENNEDY,ST,W,3,2,1,880,30,3/12,1996,F,Local,6,12577252
300,BEARD,AVE,W,3,2,2,252,28,11/11,1996,F,Local,6,12577221
300,WARREN,ST,S,6,3,3,585,38,1/12,1988,F,Local,6,12577688
800,FAYETTE,ST,W,8,4,5,500,34,4/13,2008,F,MA,6,12573617
100,LOWELL,AVE,N,7,4,4,455,36,3/06,2000,F,Local,6,12573393
200,MONTICELLO,DR,N,5,2,3,846,28,3/07,1995,O,Local,3,12576626
200,WARREN,ST,S,7,4,3,330,38,2/06,1988,F,Local,6,12577693
200,WILBUR,AVE,S,6,3,4,293,41,3/07,1999,F,CO,6,12573404
1300,STATE,ST,S,4,3,2,792,32,2/05,1987,F,PA,6,12577348
300,SALINA,ST,N,7,4,3,866,60,1/05,1989,F,MA,6,12573955
400,FAYETTE,ST,E,9,5,5,500,34,4/05,2003,F,MA,6,12577707
1100,ERIE,BLVD,E,10,5,5,627,56,11/04,2004,F,PA,6,12578236
1100,GEDDES,ST,S,8,4,4,450,40,1/03,2000,F,MA,6,12573059
1300,COLVIN,ST,E,6,4,3,2012,36,3/04,1999,F,MA,6,12577016
1600,ERIE,BLVD,E,6,3,4,533,56,12/02,1997,F,PA,6,12578311
1700,ONONDAGA,ST,W,5,3,2,1156,35,3/04,1991,F,MA,6,13028442
2800,ERIE,BLVD,E,9,5,5,951,56,3/03,1999,F,PA,6,13011164
500,COLLINGWOOD,AVE,S,10,5,5,555,24,11/02,2002,O,Local,3,12580954
3600,SALINA,ST,S,10,5,5,391,40,11/01,2001,F,MA,6,13020795
5700,SALINA,ST,S,10,5,5,375,40,11/01,2001,F,MA,6,12564369
100,BEARD,AVE,W,4,3,2,587,28,1/01,1996,F,Local,6,12577235
100,LOWELL,AVE,S,5,2,3,280,30,3/01,1984,F,Local,6,12573390
200,ADAMS,ST,W,10,3,3,587,56,1/01,2000,F,Local,6,13002401
2100,SALINA,ST,S,8,4,5,200,40,1/01,1998,F,PA,6,12577240
300,BEARD,AVE,W,5,4,2,252,28,1/01,1996,F,Local,6,12577221
2200,GEDDES,ST,S,7,4,4,686,36,3/14,1996,F,MA,6,12571849
600,FAYETTE,ST,E,8,4,4,450,36,4/14,2003,F,MA,6,12577789
100,MIDLER,AVE,S,8,4,5,891,34,12/99,1994,F,MA,6,12581083
100,FLORENCE,AVE,E,6,3,3,585,25,6/15,2004,O,Local,3,13012956
200,ADAMS,ST,W,6,3,3,587,56,4/14,2000,F,Local,6,13002401
4600,SALINA,ST,S,6,3,3,370,40,6/15,1989,F,MA,6,12576608
1500,ERIE,BLVD,E,5,3,4,552,56,12/08,1997,F,PA,6,12578303
1600,GENESEE,ST,W,7,4,3,870,40,2/10,2001,F,PA,6,12572829
1800,SALINA,ST,S,6,3,2,343,40,3/09,1998,F,PA,6,13002115
200,TOWNSEND,ST,N,6,4,2,513,35,3/09,1990,F,Local,6,12577926
300,WATER,ST,W,5,3,3,350,42,3/09,1992,F,CO,6,12573861
3400,SALINA,ST,S,7,3,4,428,40,3/10,2001,F,MA,6,13012955
600,COLVIN,ST,E,8,4,5,263,36,3/09,1990,F,MA,6,12577315
600,MIDLER,AVE,S,7,4,4,1650,40,12/09,1987,F,Local,6,12580957
800,GEDDES,ST,S,6,3,4,400,56,2/10,2002,F,MA,6,12573105
400,ONONDAGA,ST,W,5,3,3,306,58,2/12,1999,F,MA,6,12573351
1600,COLVIN,ST,W,8,4,4,798,34,3/15,2009,F,Local,6,12572038
2400,SALINA,ST,S,5,3,2,310,40,3/15,1998,F,PA,6,12576838
400,TOWNSEND,ST,S,7,3,4,1404,34,4/14,2005,F,CO,6,12577709
500,BRIGHTON,AVE,W,6,2,3,557,28,3/15,2008,F,Local,6,12572100
900,SALINA,ST,S,6,4,2,412,56,4/15,2002,F,Local,6,12577369
100,COLLINGWOOD,AVE,S,6,3,3,897,24,3/09,1989,O,Local,3,12581069
1200,ONONDAGA,ST,W,10,5,5,533,34,7/06,2006,F,MA,6,12573049
1400,STATE,ST,S,4,3,1,950,32,3/09,1987,F,Local,6,12577268
300,FAYETTE,ST,E,7,4,3,525,36,2/09,2003,F,MA,6,12577697
300,GLEN,AVE,E,8,4,5,375,25,3/09,1993,O,Local,3,12576637
500,ONONDAGA,ST,W,6,3,4,385,58,2/10,1999,F,MA,6,13021001
600,NEWELL,ST,W,7,4,3,733,24,3/09,1998,F,Local,6,12572078
700,CLINTON,ST,N,7,3,4,1085,40,2/09,2009,F,Local,4,12575095
2000,GENESEE,ST,E,8,4,4,441,40,12/06,2004,F,PA,6,12578702
900,GENESEE,ST,W,8,4,4,815,56,3/07,2004,F,PA,6,12573562
100,CHAFFEE,AVE,E,7,4,2,1064,27,3/11,1991,O,Local,3,12576518
300,GLEN,AVE,E,8,3,5,375,25,3/11,1993,O,Local,3,12576637
600,NEWELL,ST,W,7,4,2,733,24,3/11,1998,F,Local,6,12571995
800,ERIE,BLVD,E,7,4,5,903,56,1/12,2004,F,PA,6,12578036
1300,STATE,ST,N,9,5,5,183,35,5/13,2007,F,MA,6,12575153
1400,MCBRIDE,ST,S,4,2,2,290,30,2/13,1998,F,Local,6,13012977
1500,GEDDES,ST,S,7,3,4,400,36,3/13,2004,F,MA,6,13017196
400,KIRKPATRICK,ST,W,10,5,5,1350,28,11/12,2012,F,Local,4,12575061
400,TOWNSEND,ST,N,8,4,5,303,35,4/13,2008,F,Local,6,12577967
300,CLINTON,ST,N,7,4,5,342,40,2/06,2001,F,MA,6,12573903
4400,SALINA,ST,S,6,3,5,512,40,2/06,2001,F,MA,6,12576613
1900,GENESEE,ST,E,8,4,5,351,40,12/05,2004,F,PA,6,12578213
300,WILLOW,ST,E,6,4,2,200,40,1/05,1990,F,Local,6,12577870
1000,MCBRIDE,ST,S,6,3,4,885,30,2/03,1998,F,Local,6,12577413
200,JEFFERSON,ST,E,8,4,5,372,48,2/03,2002,F,CO,6,12577679
2200,ERIE,BLVD,E,8,4,4,1208,56,3/03,1999,F,PA,6,13011156
300,BORDEN,AVE,E,10,5,5,295,18,12/02,2002,F,Local,6,12577297
700,GENESEE,ST,E,5,2,3,600,50,3/04,1985,F,PA,6,12577779
800,ADAMS,ST,E,7,4,4,763,30,3/04,2002,F,MA,6,12577751
1100,STATE,ST,N,5,3,2,459,35,1/02,1993,F,MA,6,12575166
1600,GENESEE,ST,W,10,5,5,315,40,11/01,2001,F,PA,6,12572831
200,WATER,ST,W,10,5,5,495,42,11/01,2001,F,CO,6,12573883
100,MONTICELLO,DR,S,7,4,3,561,26,1/01,1995,O,Local,3,12576561
100,COLVIN,ST,W,8,4,3,291,25,3/13,2004,F,MA,6,12577237
100,NEWELL,ST,W,9,5,5,957,25,5/13,2010,F,Local,6,12576841
300,PLEASANT,AVE,W,7,3,4,540,30,3/13,1996,O,Local,3,12576730
400,BEECH,ST,S,6,4,2,880,24,2/12,2003,F,Local,6,12578188
600,COLVIN,ST,E,7,4,4,263,36,3/13,1990,F,MA,6,12577315
100,JEFFERSON,ST,E,6,3,4,357,48,2/06,2002,F,CO,6,12577677
1200,GENESEE,ST,E,8,4,5,378,42,12/06,2004,F,PA,6,12578147
200,BEARD,AVE,W,5,3,2,572,28,1/07,1996,F,Local,6,12577225
300,SALINA,ST,N,7,3,4,866,60,3/07,1989,F,MA,6,13018179
3100,GENESEE,ST,E,8,4,5,676,40,12/05,2003,F,PA,6,13012521
1000,SALINA,ST,S,7,3,4,560,56,2/05,2002,F,Local,6,13002500
1000,STATE,ST,N,3,3,2,1014,35,2/06,1993,F,MA,6,12575120
200,SALINA,ST,S,6,3,4,324,56,1/05,1988,F,Local,6,12573752
900,GENESEE,ST,W,8,4,5,815,56,3/05,2004,F,PA,6,12573562
100,CORNING,AVE,E,10,5,5,264,27,11/03,2003,F,Local,6,12576857
200,CROUSE,AVE,S,10,5,5,331,36,11/04,2004,F,Local,6,12577821
300,GLEN,AVE,E,6,3,4,375,25,12/02,1993,O,Local,3,12576637
500,SALINA,ST,N,10,5,5,581,70,11/03,2003,F,MA,6,12579995
600,ADAMS,ST,E,8,4,4,528,64,3/03,2000,F,MA,6,12577724
800,GENESEE,ST,E,6,3,3,567,50,3/04,1985,F,PA,6,12577807
600,STATE,ST,N,10,5,5,327,60,3/03,2002,F,MA,6,12577959
100,ALVORD,ST,S,6,2,4,352,32,1/02,1987,F,Local,6,12580079
1600,ERIE,BLVD,E,6,3,4,533,56,1/01,1997,F,PA,6,12578311
700,FAYETTE,ST,W,4,2,4,450,34,1/01,1988,F,MA,6,12573624
800,BRIGHTON,AVE,W,5,3,2,666,28,1/01,1985,F,Local,6,12572022
1300,SALINA,ST,N,4,3,1,465,42,4/14,2003,F,MA,6,12575272
3600,SALINA,ST,S,6,3,3,391,40,5/14,2001,F,MA,6,13020795
500,HIAWATHA,BLVD,W,9,5,5,1170,50,4/15,2013,F,MA,6,13020314
200,WASHINGTON,ST,E,6,3,3,400,0,1/01,1992,F,CO,6,12577825
700,GEDDES,ST,S,8,4,5,345,56,2/00,1997,F,MA,6,12573107
200,LOWELL,AVE,S,8,4,5,304,30,6/14,2003,F,Local,6,12573385
100,WEST,ST,S,6,3,4,612,74,3/09,1996,F,Local,6,13002310
1700,ERIE,BLVD,W,9,5,5,2757,40,2/09,2006,F,PA,4,12574897
3800,GENESEE,ST,E,6,3,5,1980,40,12/07,2004,F,PA,6,12579379
5900,SALINA,ST,S,6,3,4,211,40,12/07,2001,F,MA,6,12564386
2000,ERIE,BLVD,E,6,3,2,725,56,1/11,1999,F,PA,6,12578795
2100,ERIE,BLVD,E,10,5,5,1164,56,11/13,2013,F,PA,6,12578827
300,BEECH,ST,S,7,3,4,575,24,2/12,2003,F,Local,6,12578160
300,KENNEDY,ST,W,6,3,2,1495,31,3/12,1998,F,Local,6,12573197
400,AVERY,AVE,S,7,3,3,1877,36,2/13,1996,F,CO,4,12572435
900,BRIGHTON,AVE,E,7,4,4,524,72,1/12,2005,F,MA,4,12576675
100,BISSELL,ST,E,6,3,3,898,23,2/06,1990,O,Local,3,12573177
200,BORDEN,AVE,E,8,4,5,320,18,3/06,2002,F,Local,6,12577296
400,WATER,ST,E,6,3,4,450,34,2/06,2002,F,CO,6,12577880
200,TOWNSEND,ST,N,7,4,4,513,35,1/05,1990,F,Local,6,12577969
2400,FAYETTE,ST,E,5,3,2,280,36,3/05,1989,F,CO,6,12578758
400,NEWELL,ST,W,6,4,2,308,24,3/05,1998,F,Local,6,12572093
500,GENESEE,ST,W,8,4,5,465,48,3/05,1999,F,PA,6,12573905
300,BEARD,AVE,W,5,3,2,252,28,1/03,1996,F,Local,6,12577221
500,ADAMS,ST,E,8,4,5,469,64,3/03,2000,F,Local,6,12577670
2000,GENESEE,ST,E,7,3,4,441,40,1/02,1990,F,PA,6,12578702
600,GENESEE,ST,E,5,3,3,516,42,1/02,1985,F,MA,6,13009597
2900,ERIE,BLVD,E,9,5,5,951,56,1/01,1999,F,PA,6,12579670
1000,GEDDES,ST,S,7,4,3,390,40,3/15,2000,F,MA,6,13028438
400,BRIGHTON,AVE,E,6,3,2,1995,35,5/14,2004,F,PA,4,12576788
500,ONONDAGA,ST,W,10,5,5,385,58,4/14,2013,F,MA,6,13021001
5800,SALINA,ST,S,5,3,3,401,40,5/14,2001,F,MA,6,13011518
700,GENESEE,ST,E,6,3,3,600,71,4/14,2005,F,PA,6,13017763
100,BEARD,AVE,E,6,4,3,528,25,12/99,1991,F,Local,6,12577248
2600,GENESEE,ST,E,5,2,3,1089,35,12/99,1987,F,PA,6,12578731
100,CHAFFEE,AVE,E,5,3,2,1064,27,4/15,1991,O,Local,3,12576516
2500,GENESEE,ST,E,6,3,3,294,40,6/15,2004,F,PA,6,12578700
800,WILBUR,AVE,S,8,4,4,909,41,4/15,2004,F,Local,6,12573415
1100,COLVIN,ST,E,7,3,5,597,36,3/09,1987,F,MA,6,13002072
1600,COLVIN,ST,W,8,5,4,798,34,1/10,2009,F,Local,6,12572038
1600,SALINA,ST,S,6,3,3,401,40,3/09,2002,F,PA,6,12577262
1800,FAYETTE,ST,E,7,4,3,720,36,12/08,1992,F,CO,6,12578708
4200,SALINA,ST,S,6,3,4,322,40,3/10,2001,F,MA,6,13028542
600,ADAMS,ST,E,7,4,3,528,64,3/09,2000,F,MA,6,12577724
600,SALINA,ST,N,9,5,5,496,70,12/09,2003,F,MA,6,12575125
3800,SALINA,ST,S,7,3,4,306,40,12/07,2001,F,MA,6,13012948
400,MCBRIDE,ST,N,7,3,4,322,30,12/07,2004,F,Local,6,12577974
2100,GENESEE,ST,E,5,2,2,306,40,3/11,2004,F,PA,6,12578703
300,JEFFERSON,ST,W,7,4,4,885,36,1/12,2005,F,Local,6,12573740
100,WARREN,ST,S,4,3,2,405,38,2/00,1988,F,Local,6,12577832
1600,ERIE,BLVD,E,6,3,4,533,56,1/01,1997,F,PA,6,12578312
100,CHAFFEE,AVE,E,5,3,2,1064,27,4/15,1991,O,Local,3,12571710
200,WASHINGTON,ST,E,4,2,2,375,38,4/15,1992,F,CO,6,12577836
3100,GENESEE,ST,E,6,3,4,676,40,5/14,2003,F,PA,6,13016560
500,NEWELL,ST,W,6,3,2,286,24,4/15,1998,F,Local,6,12572090
900,COLVIN,ST,E,5,4,2,343,36,3/15,1987,F,MA,6,13020840
1700,STATE,ST,S,6,4,2,211,32,3/09,1987,F,Local,6,12577251
400,MONTICELLO,DR,N,5,3,3,442,28,7/10,1995,O,Local,3,12576646
500,WATER,ST,E,5,3,4,450,34,3/10,2002,F,CO,6,12577892
700,COLVIN,ST,E,7,3,4,475,36,3/09,1990,F,MA,6,12577319
100,JEFFERSON,ST,E,6,3,3,357,48,3/08,2002,F,CO,6,12577677
300,FLORENCE,AVE,E,8,4,5,525,25,3/07,2004,O,Local,3,12576643
300,WILBUR,AVE,S,6,3,4,293,41,3/07,1999,F,CO,6,12573402
5800,SALINA,ST,S,6,3,4,401,40,12/07,2001,F,MA,6,12564396
800,FAYETTE,ST,W,6,4,2,500,34,3/08,2002,F,MA,6,12573617
700,FAYETTE,ST,E,6,3,3,550,36,3/1,2002,F,MA,6,12577802
1700,STATE,ST,S,4,3,2,211,32,11/11,1987,F,Local,6,12577251
200,CROUSE,AVE,S,7,3,4,331,36,2/12,2004,F,Local,6,12577821
3500,GENESEE,ST,E,3,1,3,752,40,3/12,2004,F,PA,6,12578917
3500,SALINA,ST,S,7,4,3,259,40,1/12,2001,F,MA,6,12576766
400,FAYETTE,ST,W,8,4,5,650,34,4/13,2008,F,MA,6,13020301
700,BEECH,ST,S,5,3,2,910,24,3/13,1994,F,Local,6,12577641
1100,ADAMS,ST,E,5,3,4,616,30,1/06,1998,F,MA,6,12578106
200,BRIGHTON,AVE,W,8,5,4,410,30,3/06,2001,F,Local,6,12576809
1100,STATE,ST,N,3,3,1,459,35,2/06,1993,F,MA,6,12575166
1900,GEDDES,ST,S,6,3,4,475,36,3/05,1996,F,MA,6,12572943
2800,ERIE,BLVD,E,8,4,5,951,56,3/05,1999,F,PA,6,12579024
300,SALINA,ST,S,6,3,3,588,56,1/05,1988,F,Local,6,12573748
1800,FAYETTE,ST,W,7,4,3,600,30,3/03,1998,F,Local,6,12573490
200,WARREN,ST,S,7,4,4,330,38,2/04,1988,F,Local,6,12577693
5800,SALINA,ST,S,7,4,4,401,40,3/04,2001,F,MA,6,13011518
600,ADAMS,ST,E,8,4,4,528,64,3/03,2000,F,MA,6,12577725
100,FRANKLIN,ST,S,10,5,5,400,45,11/01,2001,F,Local,6,12573879
100,WARREN,ST,S,5,3,2,405,38,1/02,1988,F,Local,6,12577832
200,KENNEDY,ST,W,6,3,3,880,30,10/01,1996,F,Local,6,13028500
4000,GENESEE,ST,E,6,3,3,882,40,1/02,1986,F,PA,6,12579403
100,SALINA,ST,S,5,3,3,456,56,4/14,1988,F,Local,6,12573887
1700,STATE,ST,S,9,5,5,211,32,9/14,2012,F,Local,6,12577251
700,TOWNSEND,ST,N,7,4,3,517,35,4/15,2008,F,Local,6,12580003
900,STATE,ST,N,3,2,1,507,35,4/14,1993,F,MA,6,12575113
300,ALVORD,ST,S,3,2,1,364,32,12/09,1987,F,Local,6,12580058
400,MIDLER,AVE,S,6,3,5,723,34,12/09,1994,F,MA,4,12580967
600,GEDDES,ST,S,6,3,3,366,56,2/10,2002,F,MA,6,12573429
600,NEWELL,ST,W,7,4,3,733,24,3/09,1998,F,Local,6,13020277
700,CLINTON,ST,N,7,3,4,1085,40,2/09,2009,F,Local,4,12575092
700,TOWNSEND,ST,N,10,5,5,517,35,9/08,2008,F,Local,6,12580003
1600,ERIE,BLVD,E,6,3,4,533,56,12/06,1997,F,PA,6,12578312
200,ADAMS,ST,W,6,3,4,587,56,3/07,2000,F,Local,6,13020291
200,CROUSE,AVE,S,8,4,4,331,36,3/08,2004,F,Local,6,12577821
200,PLEASANT,AVE,W,6,3,4,800,27,3/07,2002,F,Local,6,12576801
200,STATE,ST,N,6,3,3,378,60,3/08,1991,F,Local,6,13001366
300,GENESEE,ST,W,7,3,4,483,40,3/07,1992,F,PA,6,12573895
3600,GENESEE,ST,E,6,3,5,525,40,12/07,2004,F,PA,6,12579371
4700,SALINA,ST,S,8,4,4,480,40,3/07,1989,F,MA,6,12576601
5000,SALINA,ST,S,7,3,5,317,40,12/07,2001,F,MA,6,12576529
200,BEARD,AVE,W,3,3,1,572,28,3/11,1996,F,Local,6,12577225
200,WILBUR,AVE,S,6,3,3,293,41,2/11,1999,F,CO,6,12573404
1100,COLVIN,ST,W,8,4,5,327,34,1/12,2009,F,MA,6,12572125
2700,FAYETTE,ST,E,4,3,2,325,36,11/11,1989,F,CO,6,12578776
800,WEST,ST,S,5,3,3,354,74,3/13,1996,F,Local,6,13009783
200,KENNEDY,ST,W,5,3,3,880,30,3/06,1996,F,Local,6,13028501
100,CHAFFEE,AVE,E,8,4,4,1064,27,3/05,1991,O,Local,3,12576514
500,WILLOW,ST,E,8,5,4,366,34,1/05,1997,F,Local,3,12577965
100,CHAFFEE,AVE,E,8,4,4,1064,27,12/02,1991,O,Local,3,12576516
1000,ERIE,BLVD,W,8,4,5,1710,56,11/03,2003,F,Local,4,12573449
1200,ADAMS,ST,E,7,4,4,499,28,3/04,2002,F,MA,6,12578118
1200,ERIE,BLVD,E,10,5,5,627,56,11/04,2004,F,PA,6,12578255
200,STATE,ST,S,8,4,5,312,45,2/04,2003,F,PA,6,12577706
2000,ERIE,BLVD,E,8,4,4,725,56,3/03,1999,F,PA,6,12578796
2600,SALINA,ST,S,7,4,3,330,40,1/03,1998,F,PA,6,12576872
400,LOWELL,AVE,S,10,5,5,200,30,11/03,2003,F,Local,6,12573395
600,TOWNSEND,ST,N,5,4,1,501,35,3/04,1990,F,Local,6,12577964
300,NEWELL,ST,W,7,4,3,968,24,1/01,1998,F,Local,6,12576789
300,SALINA,ST,S,5,4,2,588,56,1/01,1988,F,Local,6,12573748
100,BRIGHTON,AVE,W,8,4,4,410,30,2/12,2001,F,Local,6,12576812
1600,GENESEE,ST,W,8,4,4,870,40,4/13,2001,F,PA,6,12572831
500,WILBUR,AVE,S,6,3,4,410,41,2/13,2002,F,CO,6,12573425
600,GEDDES,ST,N,10,5,5,312,36,11/11,2011,F,MA,6,13017349
700,ALVORD,ST,N,8,4,5,1027,28,5/13,2007,F,Local,6,12575187
100,COLLINGWOOD,AVE,N,6,3,3,708,28,3/06,1988,O,Local,3,12581096
1600,GENESEE,ST,W,7,3,5,315,40,2/06,2001,F,PA,6,12572839
1800,STATE,ST,S,5,3,2,422,32,1/07,1987,F,Local,6,12577293
5700,SALINA,ST,S,7,3,4,375,40,2/06,2001,F,MA,6,12564369
600,BEECH,ST,S,7,4,3,1015,24,12/06,1994,F,Local,6,12578172
900,TOWNSEND,ST,N,6,4,2,540,30,2/06,1999,F,Local,6,12580009
200,ADAMS,ST,E,8,4,4,557,64,2/05,2000,F,Local,6,12577645
600,RAYNOR,AVE,E,5,3,4,280,36,12/01,1992,F,Local,6,12577430
100,CHAFFEE,AVE,E,7,3,4,1064,27,1/01,1991,O,Local,3,12576514
600,ADAMS,ST,E,10,5,5,528,64,1/01,2000,F,MA,6,12577725
1700,ONONDAGA,ST,W,8,4,4,1156,35,4/14,2005,F,MA,6,13028443
5300,SALINA,ST,S,5,3,4,412,40,5/14,2001,F,MA,6,12576522
900,ADAMS,ST,E,6,3,3,323,30,4/14,1998,F,MA,6,12577755
100,TAYLOR,ST,E,10,5,5,2534,27,11/00,2000,F,Local,6,12577379
